accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,tilt_x_deg,tilt_y_deg,vibration_rms_g,displacement_mm,crack_width_mm,label,risk_score,risk_status
0.0078,0.0264,1.0019,1.124,-0.751,-0.199,0.404,0.582,0.00715,0.0,0.029,0,8.7,LOW
0.0243,-0.0183,0.9863,1.171,-0.8,-0.14,0.726,0.695,0.00502,0.0,0.0,0,12.1,LOW
0.0303,-0.039,1.0166,0.866,-0.462,0.909,0.59,0.813,0.00518,0.13,0.0,0,12.8,LOW
-0.0019,0.0163,1.0127,0.9,-0.119,1.093,0.878,0.596,0.00683,0.13,0.076,0,13.3,LOW
0.0844,-0.0458,0.9039,-8.368,4.05,-4.036,3.979,7.012,0.01181,3.65,1.516,1,96.8,CRITICAL
-0.0361,0.0087,1.0047,-0.112,0.269,2.212,0.382,0.755,0.00607,0.02,0.023,0,10.8,LOW
0.0198,0.0005,1.0032,-1.745,-1.449,-1.437,0.55,0.932,0.00587,0.11,0.038,0,12.8,LOW
-0.0325,-0.0352,1.0023,0.292,-0.437,0.565,0.639,0.338,0.00336,0.24,0.034,0,7.2,LOW
-0.0005,-0.0143,1.0375,2.121,-1.403,-5.399,6.92,4.845,0.04516,6.88,1.405,1,97.8,CRITICAL
0.0099,-0.0002,0.9906,-0.013,-0.5,-0.015,0.552,0.653,0.00305,0.0,0.0,0,8.4,LOW
0.0359,-0.0102,0.9901,0.162,0.027,0.176,0.473,0.0,0.00213,0.19,0.019,0,5.3,LOW
0.044,-0.0173,1.0049,-1.394,0.461,1.612,0.853,0.145,0.00689,0.0,0.0,0,10.3,LOW
-0.0222,-0.0101,1.0077,-1.094,-0.947,0.249,0.551,0.888,0.00241,0.0,0.0,0,10.2,LOW
-0.0342,-0.031,0.9895,-0.172,-1.591,-0.354,0.913,0.437,0.00611,0.0,0.0,0,11.8,LOW
-0.0229,-0.0256,1.0028,-2.267,1.422,0.866,0.3,0.098,0.005,0.0,0.0,0,7.9,LOW
-0.0101,-0.0578,0.989,2.069,4.021,-0.878,2.714,6.562,0.023,8.77,1.576,1,78.5,HIGH
-0.008,-0.0151,1.0012,0.258,0.107,0.095,0.607,0.303,0.00633,0.0,0.0,0,6.2,LOW
0.0136,0.0016,1.0016,1.2,-1.096,-1.848,0.865,0.558,0.00961,0.0,0.01,0,12.6,LOW
0.0436,0.0094,0.9882,-2.568,1.64,-0.153,0.996,0.738,0.00397,0.06,0.005,0,15.2,LOW
0.0867,-0.0231,0.9102,-0.292,-6.854,1.152,4.18,3.936,0.0157,2.26,0.814,1,74.2,HIGH
-0.0072,-0.0014,1.0151,-1.03,-1.511,-0.962,0.978,0.321,0.0073,0.04,0.038,0,13.8,LOW
-0.0019,0.0096,0.9937,0.808,-0.687,-0.019,0.345,0.163,0.00715,0.0,0.01,0,7.1,LOW
-0.0174,-0.013,0.9913,-0.418,0.004,0.444,0.915,0.885,0.0073,0.0,0.03,0,12.2,LOW
0.0161,-0.0173,0.995,-0.002,0.742,0.906,0.468,0.186,0.00612,0.1,0.045,0,7.6,LOW
-0.0375,-0.0388,1.0104,0.111,-0.366,1.773,0.579,0.548,0.00493,0.0,0.014,0,10.9,LOW
0.0518,0.0137,0.9973,-1.582,0.495,-0.459,0.679,0.904,0.00317,0.0,0.085,0,10.8,LOW
-0.0298,-0.0343,1.0,0.822,-0.015,0.021,0.439,0.176,0.00499,0.06,0.029,0,5.5,LOW
0.1538,-0.1309,0.8367,1.247,-3.164,2.264,1.44,3.005,0.01665,8.42,0.076,1,78.8,HIGH
-0.0494,-0.0301,0.9956,1.215,0.739,-0.416,0.457,0.257,0.0044,0.03,0.059,0,7.6,LOW
-0.0073,0.0022,0.9977,0.641,-1.439,-1.755,0.286,0.375,0.00435,0.0,0.0,0,7.9,LOW
0.0241,0.0654,0.9968,-0.621,0.986,-1.32,0.802,0.488,0.00474,0.0,0.0,0,9.9,LOW
0.0262,-0.0096,0.9975,-1.183,-0.898,1.152,0.46,0.091,0.00573,0.0,0.039,0,7.4,LOW
-0.0054,-0.1059,0.9659,-1.302,-0.789,3.078,8.935,5.684,0.02514,11.8,0.491,1,100.0,CRITICAL
-0.0351,-0.0137,0.9921,1.649,1.19,-0.131,0.991,0.463,0.00526,0.05,0.0,0,12.1,LOW
0.0272,-0.007,1.0091,-0.115,-0.921,0.099,0.078,0.807,0.00317,0.0,0.0,0,7.7,LOW
-0.0573,-0.0344,0.9952,0.093,0.417,-0.381,0.502,0.53,0.0073,0.0,0.0,0,8.1,LOW
-0.0278,0.0274,1.0121,1.016,-0.523,1.443,0.453,0.629,0.00507,0.0,0.027,0,11.2,LOW
-0.0191,-0.0274,0.9951,0.466,-2.105,-0.868,0.555,0.726,0.00348,0.1,0.0,0,10.8,LOW
-0.0475,-0.0307,0.9858,0.21,0.48,0.007,0.895,0.611,0.00902,0.02,0.048,0,12.6,LOW
0.0188,-0.0503,0.9883,-0.12,-1.15,-0.977,0.406,0.651,0.00891,0.04,0.0,0,11.6,LOW
-0.0012,-0.0455,0.9949,1.309,0.369,-1.529,0.17,1.207,0.0064,0.0,0.0,0,11.5,LOW
0.0057,0.0114,0.9906,0.189,2.017,-0.29,0.233,0.588,0.00228,0.0,0.035,0,9.1,LOW
0.0265,0.0001,1.011,-2.125,-0.187,-0.207,0.216,0.32,0.00676,0.09,0.0,0,9.8,LOW
0.0467,-0.0433,1.0143,0.299,0.248,0.914,0.579,0.551,0.00406,0.0,0.0,0,10.1,LOW
-0.0026,0.0042,0.9955,-1.359,-0.43,1.615,0.323,0.799,0.00709,0.11,0.075,0,11.3,LOW
0.0297,0.0849,0.9258,-3.45,3.867,-1.29,3.402,10.124,0.02609,6.24,0.583,1,100.0,CRITICAL
-0.0878,0.0122,0.9921,-0.455,2.814,-3.995,3.984,3.85,0.02642,6.06,1.116,1,65.9,HIGH
-0.0386,0.0194,0.9874,-0.041,9.791,1.139,2.457,3.692,0.01084,3.18,1.744,1,60.2,HIGH
0.0617,0.0042,1.0004,-0.103,-0.881,-0.376,0.374,0.83,0.00407,0.0,0.0,0,7.6,LOW
-0.0185,-0.0613,0.9023,-1.793,3.81,-4.13,1.584,0.504,0.02527,0.0,0.698,1,47.8,MEDIUM
-0.0453,-0.0041,1.0025,1.188,-1.951,0.238,0.761,0.571,0.00666,0.09,0.055,0,11.7,LOW
-0.0163,0.0322,0.8897,-3.17,0.633,-10.101,6.312,4.104,0.0063,2.06,0.516,1,88.2,CRITICAL
-0.0033,-0.0194,0.9851,-0.974,1.007,-0.781,0.458,0.293,0.0085,0.0,0.011,0,11.0,LOW
-0.0074,-0.0572,0.9944,0.81,-0.944,-0.673,0.253,0.288,0.00718,0.06,0.007,0,7.7,LOW
-0.0285,0.0533,1.0164,0.214,-1.113,-0.759,1.053,0.651,0.0031,0.0,0.026,0,13.2,LOW
0.0393,-0.0353,0.991,-5.571,-8.558,4.371,2.577,4.521,0.02071,7.41,0.443,1,70.1,HIGH
-0.0025,0.1249,1.0114,-3.254,-0.286,2.304,3.601,5.446,0.03113,0.0,1.331,1,60.5,HIGH
0.0403,-0.0356,1.0055,0.233,-1.937,-0.22,0.462,0.218,0.00445,0.0,0.0,0,8.1,LOW
-0.0168,-0.0886,1.0503,5.915,-5.385,4.431,5.271,3.302,0.01301,8.31,1.336,1,85.3,CRITICAL
-0.0086,-0.1956,0.911,3.868,-3.622,1.137,0.276,3.73,0.02088,9.79,0.577,1,70.7,HIGH
0.0235,-0.0092,0.9997,-0.72,-0.192,-0.124,0.465,0.0,0.00856,0.04,0.0,0,5.7,LOW
-0.0117,-0.0078,0.9866,0.518,-2.022,-1.219,0.066,0.27,0.00289,0.04,0.066,0,8.9,LOW
0.0193,-0.0199,1.002,1.349,-0.241,-1.833,0.43,0.135,0.00555,0.08,0.0,0,7.9,LOW
-0.0273,0.0038,1.0095,2.067,-0.724,-0.057,0.604,0.364,0.00556,0.0,0.065,0,11.1,LOW
0.0847,0.0629,0.9759,-1.869,-0.818,0.761,0.975,0.653,0.00629,0.0,0.057,0,16.8,LOW
-0.0344,-0.0193,1.0007,-0.837,0.683,0.674,0.0,0.2,0.00825,0.0,0.0,0,5.3,LOW
-0.0757,-0.021,0.9883,0.141,1.513,-1.202,0.486,0.755,0.00336,0.05,0.095,0,11.8,LOW
-0.0195,-0.0001,1.0137,-0.845,-0.845,-0.071,0.417,0.442,0.00919,0.02,0.046,0,11.0,LOW
0.023,-0.0292,1.0181,-1.491,-0.74,-0.076,0.076,0.873,0.00587,0.0,0.0,0,11.7,LOW
0.0403,-0.0304,1.0139,0.178,-0.049,0.17,0.887,0.401,0.0064,0.0,0.005,0,10.3,LOW
-0.0018,-0.0016,1.0172,-0.567,0.541,-0.791,0.214,0.846,0.00643,0.04,0.0,0,11.4,LOW
-0.0177,-0.0056,1.0025,0.602,-1.493,0.115,0.578,0.553,0.00707,0.0,0.0,0,9.6,LOW
0.0709,0.0308,0.9923,-0.321,-1.236,-0.407,0.587,0.788,0.00609,0.0,0.0,0,10.9,LOW
-0.0437,-0.0199,0.992,-0.346,-0.203,-0.456,0.108,0.26,0.00544,0.0,0.041,0,5.8,LOW
-0.0234,-0.0069,1.0093,0.687,0.532,-0.07,0.527,0.722,0.00303,0.03,0.003,0,9.1,LOW
-0.0178,0.0351,1.0025,0.506,0.608,-0.035,0.739,0.237,0.00271,0.0,0.0,0,6.4,LOW
-0.0089,0.0185,0.9994,0.745,1.077,0.83,0.437,0.71,0.00695,0.0,0.0,0,9.1,LOW
0.0159,-0.0264,1.0001,0.847,-0.488,-1.722,0.734,0.017,0.00452,0.0,0.078,0,7.7,LOW
-0.0083,-0.0215,0.9821,0.81,0.968,-0.208,1.184,0.0,0.00612,0.07,0.0,0,12.2,LOW
-0.0424,0.0009,1.011,-2.047,1.119,-0.219,0.741,0.964,0.00212,0.0,0.0,0,13.2,LOW
-0.0109,0.0622,1.0179,-1.451,-0.457,0.037,0.0,0.941,0.00453,0.0,0.0,0,11.0,LOW
-0.0522,-0.0217,1.0143,1.708,0.659,-1.486,0.146,0.0,0.00681,0.03,0.0,0,9.1,LOW
-0.0214,0.0087,0.9924,-0.088,1.281,0.705,0.06,0.581,0.00503,0.0,0.076,0,8.2,LOW
0.0913,0.0879,0.9591,2.186,-0.518,7.541,2.681,0.0,0.01484,9.3,0.583,1,56.7,MEDIUM
0.0095,0.003,0.9537,5.019,-4.347,8.883,2.521,5.446,0.0,1.59,1.24,1,67.1,HIGH
0.0025,-0.0319,1.0162,-0.942,0.525,1.303,0.584,0.325,0.00624,0.0,0.0,0,11.3,LOW
-0.0062,0.0514,0.9815,-1.236,0.184,-0.403,0.913,0.494,0.00324,0.0,0.079,0,12.7,LOW
0.0252,0.0051,0.9012,-4.187,-2.21,-7.689,1.854,2.123,0.02848,4.68,0.385,1,69.0,HIGH
0.031,-0.0361,0.9947,-0.033,-2.29,-0.754,0.471,0.789,0.00578,0.04,0.0,0,11.5,LOW
